"Datenmodell","Kategorie","Tabellenname","Beschreibung","Anmerkung","Datenumfang","Verfügbare BJ","BJ 2019","BJ 2020","BJ 2021","BJ 2022","BJ 2023","BJ 2024"
"DM4","Versicherte","VERS","Angaben zur oder zum Versicherten","","ca. 300 Mio. Zeilen je BJ","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERSDMP","Angaben zur oder zum Versicherten","","ca. 32 Mio. Zeilen je BJ","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","Fälle der kollektiv- und selektivvertraglichen Versorgung durch niedergelassene Vertragsärztinnen und -ärzte","","ca. 630 Mio. Zeilen je BJ","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBDIAG","Diagnosen der kollektiv- oder selektivvertraglichen Versorgung","","ca. 3 Mrd. Zeilen je BJ","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBLEIST","Leistungen der kollektiv- oder selektivvertraglichen Versorgung","","ca. 5 Mrd. Zeilen je BJ","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBOPS","Operationen und Prozeduren der kollektiv- oder selektivvertraglichen Versorgung","","ca. 14 Mio. Zeilen je BJ","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALLV","Fälle der kollektivvertraglichen Versorgung durch Vertragsärztinnen und -ärzte (Vorab-Daten nach § 295b SGB V)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Ambulante Fälle","AMBDIAGV","Diagnosen der kollektivvertraglichen Versorgung (Vorab-Daten nach § 295b SGB V)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Ambulante Fälle","AMBLEISTV","Leistungen der kollektivvertraglichen Versorgung (Vorab-Daten nach § 295b SGB V)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"DM4","Ambulante Fälle","AMBOPSV","Operationen und Prozeduren der kollektivvertraglichen Versorgung (Vorab-Daten nach § 295b SGB V)","","???","2024","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
