"Datenmodell","Kategorie","Tabellenname","Datenfeldname","Datenfeldbezeichnung","Beschreibung","Anmerkung","Datentyp","Anzahl Stellen","Min","Max","Ausprägungen","Verfügbare BJ","DM 3","DM 4","BJ 2019","BJ 2020","BJ 2021","BJ 2022","BJ 2023","BJ 2024"
"DM4","Versicherte","VERS","ARBNR (bzw: VSID & PSID)","Arbeitsnummer der oder des Versicherten","Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt","Durch Datensammmelstelle erzeugt","numerisch","9","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","GEBJAHR","Geburtsjahr","Format JJJJ","Durch datenliefernde Stelle erzeugt","numerisch","4","1800","2500","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","PLZ","Postleitzahl","Postleitzahl des Wohnorts der oder des Versicherten; ""00000"" für Wohnausländer; es wird die aktuell verfügbare Postleitzahl zum Zeitpunkt des Datenabzugs gemeldet; siehe auch Hinweis im Tabellenblatt Grundlagen.","Durch datenliefernde Stelle erzeugt","alphanum.","5","","","""00000"" für Wohnausländer","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","AGS","Amtlicher Gemeindeschlüssel","Amtlicher Gemeindeschlüssel des Wohnortes der oder des Versicherten; ""00000000"" = Ausland; ""99999999"" = nicht zugeordnet; es wird der aktuell verfügbare amtliche Gemeindeschlüssel zum Zeitpunkt des Datenabzugs gemeldet.","Durch datenliefernde Stelle erzeugt","numerisch","8","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","VITALSTATUS","Vitalstatus","0 = Nicht verstorben
 1 = Verstorben
 Es wird der aktuell verfügbare Status zum Zeitpunkt des Datenabzugs gemeldet.","Durch datenliefernde Stelle erzeugt","numerisch","1","0","1","0 = in diesem Jahr nicht verstorben;
  1 = in diesem Jahr verstorben","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","STERBEDAT","Datum des Sterbetages","Datum des Sterbetages im Format JJJJMMTT; es wird das aktuell verfügbare Datum zum Zeitpunkt des Datenabzugs gemeldet.","Durch datenliefernde Stelle erzeugt","numerisch","8","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","GESCHLECHT","Geschlecht","1 = Weiblich
 2 = Männlich
 3 = Fehlende Geschlechtsangabe
 4 = Divers
 Es wird die aktuell verfügbare Geschlechtsangabe zum Zeitpunkt des Datenabzugs gemeldet.","Durch datenliefernde Stelle erzeugt","numerisch","1","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","VERSTAGE","Anzahl Versichertentage","Anzahl Versichertentage im Berichtsquartal","Durch datenliefernde Stelle erzeugt","numerisch","1..2","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","VERSTAGEAUSL","Anzahl Versichertentage mit Wohnsitz im Ausland","Anzahl Versichertentage im Berichtsquartal mit Wohnsitz im Ausland im Berichtsquartal","Durch datenliefernde Stelle erzeugt","numerisch","1..2","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","VERSSTATUS","Versichertenstatus gemäß KM 1","Versichertenstatus gemäß KM 1 des Berichtsquartals; wenn technisch kein KM 1-Versichertenstatus für das Berichtsquartal ermittelt werden kann,""99999""
 Bei Veränderungen innerhalb des Berichtsquartals die jüngste Angabe. Die Davonschlüsselnummern der KM 1 sind hierbei nicht zu berücksichtigen.","Durch datenliefernde Stelle erzeugt","numerisch","5","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","VERSTAGEMEDREHA","Anzahl Versichertentage mit medizinischer Rehabilitation","Anzahl der Versichertentage im Berichtsquartal, an denen die versicherte Person Leistungen zur medizinischen Rehabilitation nach § 40 SGB V in Anspruch genommen hat","Durch datenliefernde Stelle erzeugt","numerisch","1..2","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","VERSTAGEKG","Anzahl Versichertentage mit Krankengeldbezug","Anzahl Versichertentage im Berichtsquartal mit Krankengeldbezug gemäß §§ 44 und 45 SGB V","Durch datenliefernde Stelle erzeugt","numerisch","1..2","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERS","VERSTAGEKOSTERSTWAHLT","Anzahl Versichertentage mit Kostenerstattung oder Wahltarif","Anzahl Versichertentage im Berichtsquartal mit Wahl der Kostenerstattung gemäß § 13 Abs. 2 SGB V oder Mitgliedschaft im einem Wahltarif gemäß § 53 Abs. 4 SGB V","Durch datenliefernde Stelle erzeugt","numerisch","1..2","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERSDMP","ARBNR (bzw: VSID & PSID)","Arbeitsnummer der oder des Versicherten","Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt","Satzart VERS Feld 1","numerisch","9","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERSDMP","DMPPROG","Programmkennziffer des Disease-Management-Programms","Siehe auch Abschnitt 6.1.20 DMP-Kennzeichen der Technischen Anlage zum Datenaustausch","","alphanum.","2","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Versicherte","VERSDMP","DMPTAGE","Anzahl DMP-Tage","Anzahl der Versichertentage mit Teilnahme am strukturierten Behandlungsprogramm gemäß § 137f Abs. 1 SGB V im Berichtsquartal","","numerisch","1..2","","","","2019, 2020, 2021, 2022, 2023, 2024","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","ARBNR (bzw: VSID & PSID)","Arbeitsnummer des Versicherten","Gemäß § 4 Abs. 4 von der Datensammelstelle zum periodenbezogenen Lieferpseudonym erzeugt","Satzart VERS","numerisch","9","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","FALLIDAMB","Fall-ID des vertragsärztlichen bzw. selektivvertraglichen Behandlungsfalls","Technische Fall-ID zur Verknüpfung mit Satzarten AMBDIAG, AMBLEIST und AMBOPS","Durch datenliefernde Stelle erzeugt","numerisch","1..11","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","SVNR","Vertragsnummer des Selektivvertrags","Leer, wenn kollektivvertragliche vertragsärztliche Versorgung","TA DA Segment 5 Feld 5.2","alphanum.","..25","","","Die Vertragsnummer ist ein elfstelliges, alphanumerisches Kennzeichen mit folgendem Aufbau: 
 01. Stelle: Versionskennzeichen 
 02. + 03. Stelle: Rechtsgrundlage 
 04. + 05. Stelle: Regionalkennzeichen 
 06. - 11. Stelle: Fortlaufende Nummer 
 Bei dem Selektivvertrag handelt es sich um einen Direktvertrag zwischen Krankenkassen und einzelnen Leistungserbringern (z. B. Ärzte, Krankenhäusern) oder einer Gemeinschaft von Leistungserbringern. Siehe auch https://www.bundesgesundheitsministerium.de/service/begriffe-von-a-z/s/selektivvertrag.html","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","SVTYP","Vertragstyp","1 = Hausarztzentrierte Versorgung (§ 73b SGB V); wird auch gewählt, falls der Vertragstyp nicht eindeutig bestimmt werden kann
 2 = Integrierte Versorgung (§ 140a SGB V bzw. § 73c SGB V (a. F.)), sonst leer","Vertragsstammdaten","numerisch","1","1","2","1 = Hausarztzentrierte Versorgung (§ 73b SGB V); wird auch gewählt, falls der Vertragstyp nicht eindeutig bestimmt werden kann;  
 2 = Integrierte Versorgung (§ 140a SGB V bzw. § 73c SGB V (a. F.))","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","BSNRPSEUDO","Pseudonym der Betriebsstätte der behandelnden Person/en","","Durch Datensammelstelle erzeugt","numerisch","12","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","BSNRVB","Versorgungsgebiet der Betriebsstätte der behandelnden Person/en","Stellen 1 und 2 der Betriebsstättennnummer, wenn gleich 26, 35, 74 oder 75; sonst NULL","Durch Datensammelstelle erzeugt","numerisch","2","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","BSNRKV","Regionalkennzeichen der Betriebsstätte der behandelnden Person/en","Stellen 3 und 4 der Betriebsstättennnummer, wenn Stellen 1 und 2 gleich 26, 35, 74 oder 75; sonst Stellen 1 und 2","Durch Datensammelstelle erzeugt","numerisch","2","","","Codierung siehe https://www.kbv.de/documents/infothek/rechtsquellen/weitere-vertraege/praxen/arzt-und-betriebsstaettennummer/Arztnummern_Richtlinie.pdf S. 8 und 9","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","BSNRUEBPSEUDO","Pseudonym der Betriebsstätte der überweisenden Person/en","","Durch Datensammelstelle erzeugt","numerisch","12","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","BSNRUEBVB","Versorgungsgebiet der Betriebsstätte der überweisenden Person/en","Stellen 1 und 2 der Betriebsstättennnummer, wenn gleich 26, 35, 74 oder 75; sonst NULL","Durch Datensammelstelle erzeugt","numerisch","2","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","BSNRUEBKV","Regionalkennzeichen der Betriebsstätte der überweisenden Person/en","Stellen 3 und 4 der Betriebsstättennnummer, wenn Stellen 1 und 2 gleich 26, 35, 74 oder 75; sonst Stellen 1 und 2","Durch Datensammelstelle erzeugt","numerisch","2","","","Codierung siehe https://www.kbv.de/documents/infothek/rechtsquellen/weitere-vertraege/praxen/arzt-und-betriebsstaettennummer/Arztnummern_Richtlinie.pdf S. 8 und 9","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","LANRUEBPSEUDO","Pseudonym der lebenslangen Arztnummer der überweisenden Person","","Durch Datensammelstelle erzeugt","numerisch","12","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","LANRUEBFG","Fachgruppe der lebenslangen Arztnummer der überweisenden Person","Stellen 8 und 9 der lebenslangen Arztnummer","Durch Datensammelstelle erzeugt","numerisch","2","","","Die Kodierung bzw. Schlüsseltabelle zu der Facharztgruppe ist unter https://applications.kbv.de/S_BAR2_ARZTNRFACHGRUPPE_V1.03.xhtml zu finden.","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","LANRUEBPRUEF","Erfolg Reproduktion Prüfsumme zur lebenslangen Arztnummer der überweisenden Person","1 = Korrekt (Prüfsumme = Stelle 7 der lebenslangen Arztnummer)
 0 = Nicht korrekt
 NULL = Berechnung fehlgeschlagen","Durch Datensammelstelle erzeugt","alphanum.","1","","","1 = korrekt (Prüfsumme = Ziffer 7 der LANR);
 0 = nicht korrekt;
 NULL = Berechnung fehlgeschlagen","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"DM4","Ambulante Fälle","AMBFALL","LANRUEBPSEUDOARZTNR","Kennzeichen Pseudo-Arztnummer zur lebenslangen Arztnummer der überweisenden Person","1 = Pseudo-Arztnummer liegt vor
 0 = Sonst","Durch Datensammelstelle gemäß Steuertabelle erzeugt","alphanum.","1","","","","2019, 2020, 2021, 2022, 2023, 2024","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
