"Datenmodell","Kategorie","Tabellenname","Datenfeldname","Datenfeldbezeichnung","Beschreibung","Anmerkung","Datentyp","Anzahl Stellen","Muss / Kann","NULL-/ NA-Werte","Min","Max","Ausprägungen","Verfügbare BJ","DM 1","DM 2","DM 3","BJ 2009","BJ 2010","BJ 2011","BJ 2012","BJ 2013","BJ 2014","BJ 2015","BJ 2016","BJ 2017","BJ 2018","BJ 2019","BJ 2020","BJ 2021","BJ 2022"
"DM1+2","Versicherte","SA151","SA151_SATZART","Satzart","konstant 151","","numerisch","3","M","FALSE","","","151","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_AUSGLEICHSJAHR","Ausgleichsjahr","JJJJ Jahr, für das der Morbi-RSA berechnet wird","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_BERICHTSJAHR","Berichtsjahr","JJJJ Jahr, in dem die Daten erhoben wurden","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_VSID","Einjähriges Pseudonym","Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","numerisch","9","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_PSID","Überjähriges Pseudonym","Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","VarBinary(32); alt: CHAR(19)","32","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_KV_NR_KENNZEICHEN","Krankenversicherungsnummer (KV)","bundeseinheitliche KV Nummer lag vor= 1 | sonst = 0","","numerisch","1","M","FALSE","","","bundeseinheitliche KV-Nr lag vor = 1; sonst = 0","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_GEBURTSJAHR","Geburtsjahr","Geburtsjahr des Versicherten JJJJ","","numerisch","4","M","FALSE","1800","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_GESCHLECHT","Geschlecht","","","numerisch","1","M","FALSE","1","4","1 = weiblich; 
 2 = männlich;
 3 = fehlende Geschlechtsangabe gemäß § 30 Abs. 1 Satz Nr. 1 RSAV (ab BJ2016);
 4 = divers (ab BJ2018)","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_VERSICHERTENTAGE","Versichertentage","Versichertentage des Versicherten im Berichtsjahr gemäß § 30 Abs. 1 Nr. 1 RSAV","","numerisch","3","M","FALSE","0","400","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA151","SA151_VERSTORBEN","Vitalstatus","Versicherter ist im Berichtsjahr verstorben 0 = sonst","","numerisch","1","M","FALSE","0","1","0 = in diesem Jahr nicht verstorben; 
 1 = in diesem Jahr verstorben","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
